"Sportsbook","Conference","Team","Odds","Date"
"BetMGM","Pac-12","Arizona","+35000","2022-09-01"
"BetMGM","American Athletic","Cincinnati","+200","2022-09-01"
"BetMGM","American Athletic","Houston","+225","2022-09-01"
"BetMGM","American Athletic","Central Florida","+290","2022-09-01"
"BetMGM","American Athletic","SMU","+1000","2022-09-01"
"BetMGM","American Athletic","Memphis","+1400","2022-09-01"
"BetMGM","American Athletic","Tulsa","+4000","2022-09-01"
"BetMGM","American Athletic","East Carolina","+2500","2022-09-01"
"BetMGM","American Athletic","Tulane","+3500","2022-09-01"
"BetMGM","American Athletic","South Florida","+6600","2022-09-01"
"BetMGM","American Athletic","Navy","+8000","2022-09-01"
"BetMGM","American Athletic","Temple","+25000","2022-09-01"
"BetMGM","USA","UAB","+185","2022-09-01"
"BetMGM","USA","UTSA","+200","2022-09-01"
"BetMGM","USA","Western Kentucky","+500","2022-09-01"
"BetMGM","USA","Florida Atlantic","+1000","2022-09-01"
"BetMGM","USA","UTEP","+1500","2022-09-01"
"BetMGM","USA","Middle Tennessee State","+1500","2022-09-01"
"BetMGM","USA","N.Texas","+1500","2022-09-01"
"BetMGM","USA","Charlotte","+3000","2022-09-01"
"BetMGM","USA","Rice","+10000","2022-09-01"
"BetMGM","USA","Florida International","+10000","2022-09-01"
"BetMGM","MAC","Central Michigan","+550","2022-09-01"
"BetMGM","MAC","Miami (OH)","+450","2022-09-01"
"BetMGM","MAC","Toledo","+325","2022-09-01"
"BetMGM","MAC","Northern Illinois","+450","2022-09-01"
"BetMGM","MAC","Western Michigan","+900","2022-09-01"
"BetMGM","MAC","Kent State","+800","2022-09-01"
"BetMGM","MAC","Eastern Michigan","+1200","2022-09-01"
"BetMGM","MAC","Ohio","+1800","2022-09-01"
"BetMGM","MAC","Buffalo","+2000","2022-09-01"
"BetMGM","MAC","Ball State","+5000","2022-09-01"
"BetMGM","MAC","Bowling Green","+2800","2022-09-01"
"BetMGM","MAC","Akron","+6600","2022-09-01"
"BetMGM","Mountain West","Fresno State","+225","2022-09-01"
"BetMGM","Mountain West","Boise State","+250","2022-09-01"
"BetMGM","Mountain West","Air Force","+400","2022-09-01"
"BetMGM","Mountain West","San Diego State","+550","2022-09-01"
"BetMGM","Mountain West","Utah State","+800","2022-09-01"
"BetMGM","Mountain West","San Jose St","+2500","2022-09-01"
"BetMGM","Mountain West","Colorado State","+2500","2022-09-01"
"BetMGM","Mountain West","Wyoming","+5000","2022-09-01"
"BetMGM","Mountain West","Nevada","+8000","2022-09-01"
"BetMGM","Mountain West","UNLV","+10000","2022-09-01"
"BetMGM","Mountain West","Hawaii","+15000","2022-09-01"
"BetMGM","Mountain West","New Mexico","+20000","2022-09-01"
"BetMGM","Sun Belt","Appalachian State","+225","2022-09-01"
"BetMGM","Sun Belt","Coastal Carolina","+500","2022-09-01"
"BetMGM","Sun Belt","Louisiana","+350","2022-09-01"
"BetMGM","Sun Belt","Marshall","+500","2022-09-01"
"BetMGM","Sun Belt","Georgia State","+1000","2022-09-01"
"BetMGM","Sun Belt","Troy","+900","2022-09-01"
"BetMGM","Sun Belt","South Alabama","+1800","2022-09-01"
"BetMGM","Sun Belt","Southern Miss","+4000","2022-09-01"
"BetMGM","Sun Belt","Arkansas St.","+5000","2022-09-01"
"BetMGM","Sun Belt","Old Dominion","+5000","2022-09-01"
"BetMGM","Sun Belt","Texas State","+6600","2022-09-01"
"BetMGM","Sun Belt","Georgia Southern","+10000","2022-09-01"
"BetMGM","Sun Belt","Louisiana Monroe","+25000","2022-09-01"
"Caesars","American Athletic","Houston Cougars","+200","2022-09-01"
"Caesars","American Athletic","Cincinnati Bearcats","+240","2022-09-01"
"Caesars","American Athletic","UCF Knights","+260","2022-09-01"
"Caesars","American Athletic","SMU Mustangs","+1000","2022-09-01"
"Caesars","American Athletic","Memphis Tigers","+1000","2022-09-01"
"Caesars","American Athletic","East Carolina Pirates","+2000","2022-09-01"
"Caesars","American Athletic","Tulane Green Wave","+2800","2022-09-01"
"Caesars","American Athletic","Tulsa Golden Hurricane","+4000","2022-09-01"
"Caesars","American Athletic","South Florida Bulls","+5000","2022-09-01"
"Caesars","American Athletic","Navy Midshipmen","+10000","2022-09-01"
"Caesars","American Athletic","Temple Owls","+20000","2022-09-01"
"Caesars","ACC","Clemson Tigers","-140","2022-09-01"
"Caesars","ACC","Miami (FL) Hurricanes","+500","2022-09-01"
"Caesars","ACC","North Carolina State Wolfpack","+750","2022-09-01"
"Caesars","ACC","Pittsburgh Panthers","+800","2022-09-01"
"Caesars","ACC","North Carolina Tar Heels","+1600","2022-09-01"
"Caesars","ACC","Florida State Seminoles","+2200","2022-09-01"
"Caesars","ACC","Louisville Cardinals","+2200","2022-09-01"
"Caesars","ACC","Wake Forest Demon Deacons","+2500","2022-09-01"
"Caesars","ACC","Boston College Eagles","+3500","2022-09-01"
"Caesars","ACC","Virginia Cavaliers","+4000","2022-09-01"
"Caesars","ACC","Virginia Tech Hokies","+7500","2022-09-01"
"Caesars","ACC","Georgia Tech Yellow Jackets","+20000","2022-09-01"
"Caesars","ACC","Syracuse Orange","+25000","2022-09-01"
"Caesars","ACC","Duke Blue Devils","+50000","2022-09-01"
"Caesars","Big Ten","Ohio State Buckeyes","-250","2022-09-01"
"Caesars","Big Ten","Michigan Wolverines","+750","2022-09-01"
"Caesars","Big Ten","Wisconsin Badgers","+1000","2022-09-01"
"Caesars","Big Ten","Penn State Nittany Lions","+1400","2022-09-01"
"Caesars","Big Ten","Iowa Hawkeyes","+2000","2022-09-01"
"Caesars","Big Ten","Minnesota Golden Gophers","+2000","2022-09-01"
"Caesars","Big Ten","Michigan State Spartans","+2500","2022-09-01"
"Caesars","Big Ten","Purdue Boilermakers","+2500","2022-09-01"
"Caesars","Big Ten","Nebraska Cornhuskers","+5000","2022-09-01"
"Caesars","Big Ten","Maryland Terrapins","+12500","2022-09-01"
"Caesars","Big Ten","Indiana Hoosiers","+15000","2022-09-01"
"Caesars","Big Ten","Northwestern Wildcats","+20000","2022-09-01"
"Caesars","Big Ten","Illinois Fighting Illini","+20000","2022-09-01"
"Caesars","Big Ten","Rutgers Scarlet Knights","+30000","2022-09-01"
"Caesars","Big 12","Oklahoma Sooners","+190","2022-09-01"
"Caesars","Big 12","Texas Longhorns","+250","2022-09-01"
"Caesars","Big 12","Oklahoma State Cowboys","+450","2022-09-01"
"Caesars","Big 12","Baylor Bears","+650","2022-09-01"
"Caesars","Big 12","TCU Horned Frogs","+1200","2022-09-01"
"Caesars","Big 12","Kansas State Wildcats","+1200","2022-09-01"
"Caesars","Big 12","Iowa State Cyclones","+2000","2022-09-01"
"Caesars","Big 12","West Virginia Mountaineers","+3000","2022-09-01"
"Caesars","Big 12","Texas Tech Red Raiders","+5000","2022-09-01"
"Caesars","Big 12","Kansas Jayhawks","+30000","2022-09-01"
"Caesars","Mid American","Toledo Rockets","+300","2022-09-01"
"Caesars","Mid American","Miami (OH) Redhawks","+375","2022-09-01"
"Caesars","Mid American","Northern Illinois Huskies","+430","2022-09-01"
"Caesars","Mid American","Central Michigan Chippewas","+450","2022-09-01"
"Caesars","Mid American","Kent State Golden Flashes","+900","2022-09-01"
"Caesars","Mid American","Western Michigan Broncos","+1200","2022-09-01"
"Caesars","Mid American","Buffalo Bulls","+1400","2022-09-01"
"Caesars","Mid American","Eastern Michigan Eagles","+1600","2022-09-01"
"Caesars","Mid American","Ohio Bobcats","+2000","2022-09-01"
"Caesars","Mid American","Bowling Green Falcons","+3500","2022-09-01"
"Caesars","Mid American","Ball State Cardinals","+6500","2022-09-01"
"Caesars","Mid American","Akron Zips","+6500","2022-09-01"
"Caesars","Pac 12","Utah Utes","+210","2022-09-01"
"Caesars","Pac 12","USC Trojans","+210","2022-09-01"
"Caesars","Pac 12","Oregon Ducks","+300","2022-09-01"
"Caesars","Pac 12","UCLA Bruins","+800","2022-09-01"
"Caesars","Pac 12","Washington Huskies","+1600","2022-09-01"
"Caesars","Pac 12","Arizona State Sun Devils","+3500","2022-09-01"
"Caesars","Pac 12","Oregon State Beavers","+3500","2022-09-01"
"Caesars","Pac 12","Washington State Cougars","+4000","2022-09-01"
"Caesars","Pac 12","California Golden Bears","+6000","2022-09-01"
"Caesars","Pac 12","Stanford Cardinal","+6000","2022-09-01"
"Caesars","Pac 12","Arizona Wildcats","+25000","2022-09-01"
"Caesars","Pac 12","Colorado Buffaloes","+27500","2022-09-01"
"Caesars","USA","UTSA Roadrunners","+240","2022-09-01"
"Caesars","USA","UAB Blazers","+250","2022-09-01"
"Caesars","USA","Western Kentucky Hilltoppers","+430","2022-09-01"
"Caesars","USA","Florida Atlantic Owls","+600","2022-09-01"
"Caesars","USA","North Texas Mean Green","+1000","2022-09-01"
"Caesars","USA","Middle Tennessee Blue Raiders","+1000","2022-09-01"
"Caesars","USA","Louisiana Tech Bulldogs","+1200","2022-09-01"
"Caesars","USA","UTEP Miners","+3000","2022-09-01"
"Caesars","USA","Charlotte 49ers","+4000","2022-09-01"
"Caesars","USA","Rice Owls","+10000","2022-09-01"
"Caesars","USA","Florida International Panthers","+20000","2022-09-01"
"Caesars","2022 MAC East Division Winner","Miami (OH) RedHawks","+140","2022-09-01"
"Caesars","2022 MAC East Division Winner","Kent State Golden Flashes","+250","2022-09-01"
"Caesars","2022 MAC East Division Winner","Buffalo Bulls","+550","2022-09-01"
"Caesars","2022 MAC East Division Winner","Ohio Bobcats","+600","2022-09-01"
"Caesars","2022 MAC East Division Winner","Bowling Green Falcons","+800","2022-09-01"
"Caesars","2022 MAC East Division Winner","Akron Zips","+1600","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Clemson Tigers","-240","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","North Carolina State Wolfpack","+450","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Louisville Cardinals","+1200","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Florida State Seminoles","+1400","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Wake Forest Demon Deacons","+1600","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Boston College Eagles","+1800","2022-09-01"
"Caesars","2022 ACC Atlantic Division Winner","Syracuse Orange","+10000","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Appalachian State Mountaineers","+150","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Marshall Thundering Herd","+250","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Coastal Carolina Chanticleers","+280","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Georgia State Panthers","+600","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Old Dominion Monarchs","+2200","2022-09-01"
"Caesars","2022 Sun Belt East Division Winner","Georgia Southern Eagles","+5000","2022-09-01"
"Caesars","2022 SEC West Division Winner","Alabama Crimson Tide","-500","2022-09-01"
"Caesars","2022 SEC West Division Winner","Texas A&M Aggies","+650","2022-09-01"
"Caesars","2022 SEC West Division Winner","Ole Miss Rebels","+1600","2022-09-01"
"Caesars","2022 SEC West Division Winner","Arkansas Razorbacks","+1800","2022-09-01"
"Caesars","2022 SEC West Division Winner","LSU Tigers","+2200","2022-09-01"
"Caesars","2022 SEC West Division Winner","Mississippi State Bulldogs","+4000","2022-09-01"
"Caesars","2022 SEC West Division Winner","Auburn Tigers","+7500","2022-09-01"
"Caesars","2022 MW West Division Winner","Fresno State Bulldogs","-125","2022-09-01"
"Caesars","2022 MW West Division Winner","San Diego State Aztecs","+220","2022-09-01"
"Caesars","2022 MW West Division Winner","San Jose State Spartans","+700","2022-09-01"
"Caesars","2022 MW West Division Winner","UNLV Rebels","+1600","2022-09-01"
"Caesars","2022 MW West Division Winner","Hawaii Rainbow Warriors","+2000","2022-09-01"
"Caesars","2022 MW West Division Winner","Nevada Wolf Pack","+2000","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Louisiana-Lafayette Ragin' Cajuns","+110","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Troy Trojans","+320","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","South Alabama Jaguars","+400","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Southern Miss Golden Eagles","+1000","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Arkansas State Red Wolves","+1000","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Texas State Bobcats","+1500","2022-09-01"
"Caesars","2022 Sun Belt West Division Winner","Louisiana-Monroe Warhawks","+6000","2022-09-01"
"Caesars","2022 MAC West Division Winner","Toledo Rockets","+180","2022-09-01"
"Caesars","2022 MAC West Division Winner","Central Michigan Chippewas","+260","2022-09-01"
"Caesars","2022 MAC West Division Winner","Northern Illinois Huskies","+280","2022-09-01"
"Caesars","2022 MAC West Division Winner","Western Michigan Broncos","+750","2022-09-01"
"Caesars","2022 MAC West Division Winner","Eastern Michigan Eagles","+950","2022-09-01"
"Caesars","2022 MAC West Division Winner","Ball State Cardinals","+2000","2022-09-01"
"Caesars","Sun Belt","Louisiana-Lafayette Ragin' Cajuns","+275","2022-09-01"
"Caesars","Sun Belt","Appalachian State Mountaineers","+275","2022-09-01"
"Caesars","Sun Belt","Marshall Thundering Herd","+400","2022-09-01"
"Caesars","Sun Belt","Coastal Carolina Chanticleers","+550","2022-09-01"
"Caesars","Sun Belt","Troy Trojans","+900","2022-09-01"
"Caesars","Sun Belt","Georgia State Panthers","+1200","2022-09-01"
"Caesars","Sun Belt","South Alabama Jaguars","+1400","2022-09-01"
"Caesars","Sun Belt","Southern Miss Golden Eagles","+3000","2022-09-01"
"Caesars","Sun Belt","Texas State Bobcats","+3000","2022-09-01"
"Caesars","Sun Belt","Arkansas State Red Wolves","+3500","2022-09-01"
"Caesars","Sun Belt","Old Dominion Monarchs","+6000","2022-09-01"
"Caesars","Sun Belt","Georgia Southern Eagles","+8000","2022-09-01"
"Caesars","Sun Belt","Louisiana-Monroe Warhawks","+30000","2022-09-01"
"Caesars","SEC","Alabama Crimson Tide","-145","2022-09-01"
"Caesars","SEC","Georgia Bulldogs","+150","2022-09-01"
"Caesars","SEC","Texas A&M Aggies","+1600","2022-09-01"
"Caesars","SEC","Tennessee Volunteers","+4000","2022-09-01"
"Caesars","SEC","Ole Miss Rebels","+4000","2022-09-01"
"Caesars","SEC","Kentucky Wildcats","+4000","2022-09-01"
"Caesars","SEC","Arkansas Razorbacks","+5000","2022-09-01"
"Caesars","SEC","LSU Tigers","+5000","2022-09-01"
"Caesars","SEC","Florida Gators","+5000","2022-09-01"
"Caesars","SEC","South Carolina Gamecocks","+7500","2022-09-01"
"Caesars","SEC","Mississippi State Bulldogs","+10000","2022-09-01"
"Caesars","SEC","Auburn Tigers","+12500","2022-09-01"
"Caesars","SEC","Missouri Tigers","+30000","2022-09-01"
"Caesars","SEC","Vanderbilt Commodores","+100000","2022-09-01"
"Draftkings","ACC 2022","Clemson","-125","2022-09-01"
"Draftkings","ACC 2022","Miami FL","+550","2022-09-01"
"Draftkings","ACC 2022","North Carolina State","+650","2022-09-01"
"Draftkings","ACC 2022","Pittsburgh","+850","2022-09-01"
"Draftkings","ACC 2022","North Carolina","+1600","2022-09-01"
"Draftkings","ACC 2022","Louisville","+2500","2022-09-01"
"Draftkings","ACC 2022","Wake Forest","+3000","2022-09-01"
"Draftkings","ACC 2022","Florida State","+3000","2022-09-01"
"Draftkings","ACC 2022","Virginia","+4000","2022-09-01"
"Draftkings","ACC 2022","Boston College","+4000","2022-09-01"
"Draftkings","ACC 2022","Virginia Tech","+5500","2022-09-01"
"Draftkings","ACC 2022","Syracuse","+20000","2022-09-01"
"Draftkings","ACC 2022","Georgia Tech","+20000","2022-09-01"
"Draftkings","ACC 2022","Duke","+80000","2022-09-01"
"Draftkings","American 2022","Cincinnati","+210","2022-09-01"
"Draftkings","American 2022","Houston","+235","2022-09-01"
"Draftkings","American 2022","UCF","+300","2022-09-01"
"Draftkings","American 2022","SMU","+1000","2022-09-01"
"Draftkings","American 2022","Memphis","+1200","2022-09-01"
"Draftkings","American 2022","East Carolina","+2200","2022-09-01"
"Draftkings","American 2022","Tulsa","+3000","2022-09-01"
"Draftkings","American 2022","Tulane","+3500","2022-09-01"
"Draftkings","American 2022","South Florida","+6000","2022-09-01"
"Draftkings","American 2022","Navy","+8000","2022-09-01"
"Draftkings","American 2022","Temple","+20000","2022-09-01"
"Draftkings","Big 12 2022","Oklahoma","+190","2022-09-01"
"Draftkings","Big 12 2022","Texas","+290","2022-09-01"
"Draftkings","Big 12 2022","Oklahoma State","+550","2022-09-01"
"Draftkings","Big 12 2022","Baylor","+650","2022-09-01"
"Draftkings","Big 12 2022","Kansas State","+1000","2022-09-01"
"Draftkings","Big 12 2022","TCU","+1200","2022-09-01"
"Draftkings","Big 12 2022","Iowa State","+1800","2022-09-01"
"Draftkings","Big 12 2022","West Virginia","+2800","2022-09-01"
"Draftkings","Big 12 2022","Texas Tech","+4500","2022-09-01"
"Draftkings","Big 12 2022","Kansas","+25000","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Ohio State","-215","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Michigan","+650","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Wisconsin","+1000","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Penn State","+1300","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Iowa","+1800","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Minnesota","+2500","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Michigan State","+2800","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Purdue","+3500","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Nebraska","+3500","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Northwestern","+12000","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Illinois","+12000","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Maryland","+15000","2022-09-01"
"Draftkings","Big Ten w/o NJ College 2022","Indiana","+30000","2022-09-01"
"Draftkings","CUSA 2022","UTSA","+210","2022-09-01"
"Draftkings","CUSA 2022","UAB","+230","2022-09-01"
"Draftkings","CUSA 2022","Florida Atlantic","+500","2022-09-01"
"Draftkings","CUSA 2022","Western Kentucky","+600","2022-09-01"
"Draftkings","CUSA 2022","North Texas","+1000","2022-09-01"
"Draftkings","CUSA 2022","Middle Tennessee","+1200","2022-09-01"
"Draftkings","CUSA 2022","Louisiana Tech","+3000","2022-09-01"
"Draftkings","CUSA 2022","UTEP","+4500","2022-09-01"
"Draftkings","CUSA 2022","Charlotte","+5000","2022-09-01"
"Draftkings","CUSA 2022","Rice","+9000","2022-09-01"
"Draftkings","CUSA 2022","FIU","+12000","2022-09-01"
"Draftkings","MAC 2022","Toledo","+320","2022-09-01"
"Draftkings","MAC 2022","Miami OH","+450","2022-09-01"
"Draftkings","MAC 2022","Central Michigan","+450","2022-09-01"
"Draftkings","MAC 2022","Northern Illinois","+600","2022-09-01"
"Draftkings","MAC 2022","Kent State","+850","2022-09-01"
"Draftkings","MAC 2022","Western Michigan","+900","2022-09-01"
"Draftkings","MAC 2022","Eastern Michigan","+1300","2022-09-01"
"Draftkings","MAC 2022","Ohio","+1600","2022-09-01"
"Draftkings","MAC 2022","Buffalo","+2000","2022-09-01"
"Draftkings","MAC 2022","Ball State","+2800","2022-09-01"
"Draftkings","MAC 2022","Bowling Green","+3500","2022-09-01"
"Draftkings","MAC 2022","Akron","+10000","2022-09-01"
"Draftkings","Mountain West 2022","Fresno State","+210","2022-09-01"
"Draftkings","Mountain West 2022","Boise State","+230","2022-09-01"
"Draftkings","Mountain West 2022","Air Force","+360","2022-09-01"
"Draftkings","Mountain West 2022","San Diego State","+600","2022-09-01"
"Draftkings","Mountain West 2022","Utah State","+1200","2022-09-01"
"Draftkings","Mountain West 2022","San Jose State","+3000","2022-09-01"
"Draftkings","Mountain West 2022","Colorado State","+3000","2022-09-01"
"Draftkings","Mountain West 2022","UNLV","+5000","2022-09-01"
"Draftkings","Mountain West 2022","Wyoming","+8000","2022-09-01"
"Draftkings","Mountain West 2022","Nevada","+12000","2022-09-01"
"Draftkings","Mountain West 2022","New Mexico","+20000","2022-09-01"
"Draftkings","Mountain West 2022","Hawaii","+25000","2022-09-01"
"Draftkings","Pac-12 2022","Utah","+225","2022-09-01"
"Draftkings","Pac-12 2022","USC","+225","2022-09-01"
"Draftkings","Pac-12 2022","Oregon","+280","2022-09-01"
"Draftkings","Pac-12 2022","UCLA","+900","2022-09-01"
"Draftkings","Pac-12 2022","Washington","+1400","2022-09-01"
"Draftkings","Pac-12 2022","Oregon State","+2500","2022-09-01"
"Draftkings","Pac-12 2022","Arizona State","+2800","2022-09-01"
"Draftkings","Pac-12 2022","Washington State","+4500","2022-09-01"
"Draftkings","Pac-12 2022","California","+6000","2022-09-01"
"Draftkings","Pac-12 2022","Stanford","+9000","2022-09-01"
"Draftkings","Pac-12 2022","Colorado","+25000","2022-09-01"
"Draftkings","Pac-12 2022","Arizona","+25000","2022-09-01"
"Draftkings","SEC 2022","Alabama","-145","2022-09-01"
"Draftkings","SEC 2022","Georgia","+155","2022-09-01"
"Draftkings","SEC 2022","Texas A&M","+1800","2022-09-01"
"Draftkings","SEC 2022","Florida","+4500","2022-09-01"
"Draftkings","SEC 2022","Tennessee","+5000","2022-09-01"
"Draftkings","SEC 2022","Ole Miss","+5000","2022-09-01"
"Draftkings","SEC 2022","Kentucky","+5500","2022-09-01"
"Draftkings","SEC 2022","Arkansas","+6000","2022-09-01"
"Draftkings","SEC 2022","LSU","+7000","2022-09-01"
"Draftkings","SEC 2022","Mississippi State","+12000","2022-09-01"
"Draftkings","SEC 2022","Auburn","+12000","2022-09-01"
"Draftkings","SEC 2022","South Carolina","+15000","2022-09-01"
"Draftkings","SEC 2022","Missouri","+30000","2022-09-01"
"Draftkings","SEC 2022","Vanderbilt","+60000","2022-09-01"
"Draftkings","Sun Belt 2022","Appalachian State","+220","2022-09-01"
"Draftkings","Sun Belt 2022","Louisiana-Lafayette","+360","2022-09-01"
"Draftkings","Sun Belt 2022","Coastal Carolina","+500","2022-09-01"
"Draftkings","Sun Belt 2022","Marshall","+550","2022-09-01"
"Draftkings","Sun Belt 2022","Georgia State","+800","2022-09-01"
"Draftkings","Sun Belt 2022","Troy","+1000","2022-09-01"
"Draftkings","Sun Belt 2022","South Alabama","+1800","2022-09-01"
"Draftkings","Sun Belt 2022","Southern Mississippi","+4000","2022-09-01"
"Draftkings","Sun Belt 2022","Old Dominion","+5000","2022-09-01"
"Draftkings","Sun Belt 2022","Arkansas State","+5500","2022-09-01"
"Draftkings","Sun Belt 2022","Texas State","+6000","2022-09-01"
"Draftkings","Sun Belt 2022","Georgia Southern","+8000","2022-09-01"
"Draftkings","Sun Belt 2022","ULM","+18000","2022-09-01"
"Fanduel","Pac-12","USC","+170","2022-09-01"
"Fanduel","Pac-12","Utah","+250","2022-09-01"
"Fanduel","Pac-12","Oregon","+300","2022-09-01"
"Fanduel","Pac-12","UCLA","+1000","2022-09-01"
"Fanduel","Pac-12","Washington","+1700","2022-09-01"
"Fanduel","Pac-12","Oregon State","+3200","2022-09-01"
"Fanduel","Pac-12","Washington State","+4000","2022-09-01"
"Fanduel","Pac-12","Arizona State","+5500","2022-09-01"
"Fanduel","Pac-12","California","+5500","2022-09-01"
"Fanduel","Pac-12","Stanford","+6500","2022-09-01"
"Fanduel","Pac-12","Colorado","+15000","2022-09-01"
"Fanduel","Pac-12","Arizona","+50000","2022-09-01"
"Fanduel","American Athletic","Houston","+200","2022-09-01"
"Fanduel","American Athletic","Cincinnati","+220","2022-09-01"
"Fanduel","American Athletic","UCF","+290","2022-09-01"
"Fanduel","American Athletic","SMU","+900","2022-09-01"
"Fanduel","American Athletic","Memphis","+1200","2022-09-01"
"Fanduel","American Athletic","East Carolina","+2500","2022-09-01"
"Fanduel","American Athletic","Tulsa","+3000","2022-09-01"
"Fanduel","American Athletic","Tulane","+5000","2022-09-01"
"Fanduel","American Athletic","South Florida","+5000","2022-09-01"
